,id,filepath,label
0,bagpipe,gtzan_music_speech/music_speech/music_wav/bagpipe.wav,0
1,ballad,gtzan_music_speech/music_speech/music_wav/ballad.wav,0
2,bartok,gtzan_music_speech/music_speech/music_wav/bartok.wav,0
3,beat,gtzan_music_speech/music_speech/music_wav/beat.wav,0
4,beatles,gtzan_music_speech/music_speech/music_wav/beatles.wav,0
5,bigband,gtzan_music_speech/music_speech/music_wav/bigband.wav,0
6,birdland,gtzan_music_speech/music_speech/music_wav/birdland.wav,0
7,blues,gtzan_music_speech/music_speech/music_wav/blues.wav,0
8,bmarsalis,gtzan_music_speech/music_speech/music_wav/bmarsalis.wav,0
9,brahms,gtzan_music_speech/music_speech/music_wav/brahms.wav,0
10,canonaki,gtzan_music_speech/music_speech/music_wav/canonaki.wav,0
11,caravan,gtzan_music_speech/music_speech/music_wav/caravan.wav,0
12,chaka,gtzan_music_speech/music_speech/music_wav/chaka.wav,0
13,classical,gtzan_music_speech/music_speech/music_wav/classical.wav,0
14,classical1,gtzan_music_speech/music_speech/music_wav/classical1.wav,0
15,classical2,gtzan_music_speech/music_speech/music_wav/classical2.wav,0
16,copland,gtzan_music_speech/music_speech/music_wav/copland.wav,0
17,copland2,gtzan_music_speech/music_speech/music_wav/copland2.wav,0
18,corea,gtzan_music_speech/music_speech/music_wav/corea.wav,0
19,corea1,gtzan_music_speech/music_speech/music_wav/corea1.wav,0
20,cure,gtzan_music_speech/music_speech/music_wav/cure.wav,0
21,debussy,gtzan_music_speech/music_speech/music_wav/debussy.wav,0
22,deedee,gtzan_music_speech/music_speech/music_wav/deedee.wav,0
23,deedee1,gtzan_music_speech/music_speech/music_wav/deedee1.wav,0
24,duke,gtzan_music_speech/music_speech/music_wav/duke.wav,0
25,echoes,gtzan_music_speech/music_speech/music_wav/echoes.wav,0
26,eguitar,gtzan_music_speech/music_speech/music_wav/eguitar.wav,0
27,georose,gtzan_music_speech/music_speech/music_wav/georose.wav,0
28,gismonti,gtzan_music_speech/music_speech/music_wav/gismonti.wav,0
29,glass,gtzan_music_speech/music_speech/music_wav/glass.wav,0
30,glass1,gtzan_music_speech/music_speech/music_wav/glass1.wav,0
31,gravity,gtzan_music_speech/music_speech/music_wav/gravity.wav,0
32,gravity2,gtzan_music_speech/music_speech/music_wav/gravity2.wav,0
33,guitar,gtzan_music_speech/music_speech/music_wav/guitar.wav,0
34,hendrix,gtzan_music_speech/music_speech/music_wav/hendrix.wav,0
35,ipanema,gtzan_music_speech/music_speech/music_wav/ipanema.wav,0
36,jazz,gtzan_music_speech/music_speech/music_wav/jazz.wav,0
37,jazz1,gtzan_music_speech/music_speech/music_wav/jazz1.wav,0
38,led,gtzan_music_speech/music_speech/music_wav/led.wav,0
39,loreena,gtzan_music_speech/music_speech/music_wav/loreena.wav,0
40,madradeus,gtzan_music_speech/music_speech/music_wav/madradeus.wav,0
41,magkas,gtzan_music_speech/music_speech/music_wav/magkas.wav,0
42,march,gtzan_music_speech/music_speech/music_wav/march.wav,0
43,marlene,gtzan_music_speech/music_speech/music_wav/marlene.wav,0
44,mingus,gtzan_music_speech/music_speech/music_wav/mingus.wav,0
45,mingus1,gtzan_music_speech/music_speech/music_wav/mingus1.wav,0
46,misirlou,gtzan_music_speech/music_speech/music_wav/misirlou.wav,0
47,moanin,gtzan_music_speech/music_speech/music_wav/moanin.wav,0
48,narch,gtzan_music_speech/music_speech/music_wav/narch.wav,0
49,ncherry,gtzan_music_speech/music_speech/music_wav/ncherry.wav,0
50,nearhou,gtzan_music_speech/music_speech/music_wav/nearhou.wav,0
51,opera,gtzan_music_speech/music_speech/music_wav/opera.wav,0
52,opera1,gtzan_music_speech/music_speech/music_wav/opera1.wav,0
