,id,filepath,label,category
0,01 - A CONTRE COURANT_0,train/nosing/01 - A CONTRE COURANT_0.wav,0,train
1,01 - A CONTRE COURANT_1,train/sing/01 - A CONTRE COURANT_1.wav,1,train
2,01 - A CONTRE COURANT_2,train/nosing/01 - A CONTRE COURANT_2.wav,0,train
3,01 - A CONTRE COURANT_3,train/sing/01 - A CONTRE COURANT_3.wav,1,train
4,01 - A CONTRE COURANT_4,train/nosing/01 - A CONTRE COURANT_4.wav,0,train
5,01 - A CONTRE COURANT_5,train/sing/01 - A CONTRE COURANT_5.wav,1,train
6,01 - A CONTRE COURANT_6,train/nosing/01 - A CONTRE COURANT_6.wav,0,train
7,01 - A CONTRE COURANT_7,train/sing/01 - A CONTRE COURANT_7.wav,1,train
8,01 - A CONTRE COURANT_8,train/nosing/01 - A CONTRE COURANT_8.wav,0,train
9,01 - A CONTRE COURANT_9,train/sing/01 - A CONTRE COURANT_9.wav,1,train
10,01 - A CONTRE COURANT_10,train/nosing/01 - A CONTRE COURANT_10.wav,0,train
11,01 - A CONTRE COURANT_11,train/sing/01 - A CONTRE COURANT_11.wav,1,train
12,01 - A CONTRE COURANT_12,train/nosing/01 - A CONTRE COURANT_12.wav,0,train
13,01 - A CONTRE COURANT_13,train/sing/01 - A CONTRE COURANT_13.wav,1,train
14,01 - A CONTRE COURANT_14,train/nosing/01 - A CONTRE COURANT_14.wav,0,train
15,01 - A CONTRE COURANT_15,train/sing/01 - A CONTRE COURANT_15.wav,1,train
16,01 - A CONTRE COURANT_16,train/nosing/01 - A CONTRE COURANT_16.wav,0,train
17,01 - A CONTRE COURANT_17,train/sing/01 - A CONTRE COURANT_17.wav,1,train
18,01 - A CONTRE COURANT_18,train/nosing/01 - A CONTRE COURANT_18.wav,0,train
19,01 - A CONTRE COURANT_19,train/sing/01 - A CONTRE COURANT_19.wav,1,train
20,01 - A CONTRE COURANT_20,train/nosing/01 - A CONTRE COURANT_20.wav,0,train
21,01 - A CONTRE COURANT_21,train/sing/01 - A CONTRE COURANT_21.wav,1,train
22,01 - A CONTRE COURANT_22,train/nosing/01 - A CONTRE COURANT_22.wav,0,train
23,01 - A CONTRE COURANT_23,train/sing/01 - A CONTRE COURANT_23.wav,1,train
24,01 - A CONTRE COURANT_24,train/nosing/01 - A CONTRE COURANT_24.wav,0,train
25,01 - A CONTRE COURANT_25,train/sing/01 - A CONTRE COURANT_25.wav,1,train
26,01 - A CONTRE COURANT_26,train/nosing/01 - A CONTRE COURANT_26.wav,0,train
27,01 - A CONTRE COURANT_27,train/sing/01 - A CONTRE COURANT_27.wav,1,train
28,01 - A CONTRE COURANT_28,train/nosing/01 - A CONTRE COURANT_28.wav,0,train
29,01 - A CONTRE COURANT_29,train/sing/01 - A CONTRE COURANT_29.wav,1,train
30,01 - A CONTRE COURANT_30,train/nosing/01 - A CONTRE COURANT_30.wav,0,train
31,01 - A CONTRE COURANT_31,train/sing/01 - A CONTRE COURANT_31.wav,1,train
32,01 - A CONTRE COURANT_32,train/nosing/01 - A CONTRE COURANT_32.wav,0,train
33,01 - A CONTRE COURANT_33,train/sing/01 - A CONTRE COURANT_33.wav,1,train
34,01 - A CONTRE COURANT_34,train/nosing/01 - A CONTRE COURANT_34.wav,0,train
35,01 - A CONTRE COURANT_35,train/sing/01 - A CONTRE COURANT_35.wav,1,train
36,01 - A CONTRE COURANT_36,train/nosing/01 - A CONTRE COURANT_36.wav,0,train
37,01 - A CONTRE COURANT_37,train/sing/01 - A CONTRE COURANT_37.wav,1,train
38,01 - A CONTRE COURANT_38,train/nosing/01 - A CONTRE COURANT_38.wav,0,train
39,01 - A CONTRE COURANT_39,train/sing/01 - A CONTRE COURANT_39.wav,1,train
40,01 - A CONTRE COURANT_40,train/nosing/01 - A CONTRE COURANT_40.wav,0,train
41,01 - A CONTRE COURANT_41,train/sing/01 - A CONTRE COURANT_41.wav,1,train
42,01 - A CONTRE COURANT_42,train/nosing/01 - A CONTRE COURANT_42.wav,0,train
43,01 - A CONTRE COURANT_43,train/sing/01 - A CONTRE COURANT_43.wav,1,train
