,id,filepath,label,fold
0,100032-3-0-0,fold5/100032-3-0-0.wav,3,5
1,100263-2-0-117,fold5/100263-2-0-117.wav,2,5
2,100263-2-0-121,fold5/100263-2-0-121.wav,2,5
3,100263-2-0-126,fold5/100263-2-0-126.wav,2,5
4,100263-2-0-137,fold5/100263-2-0-137.wav,2,5
5,100263-2-0-143,fold5/100263-2-0-143.wav,2,5
6,100263-2-0-161,fold5/100263-2-0-161.wav,2,5
7,100263-2-0-3,fold5/100263-2-0-3.wav,2,5
8,100263-2-0-36,fold5/100263-2-0-36.wav,2,5
9,100648-1-0-0,fold10/100648-1-0-0.wav,1,10
10,100648-1-1-0,fold10/100648-1-1-0.wav,1,10
11,100648-1-2-0,fold10/100648-1-2-0.wav,1,10
12,100648-1-3-0,fold10/100648-1-3-0.wav,1,10
13,100648-1-4-0,fold10/100648-1-4-0.wav,1,10
14,100652-3-0-0,fold2/100652-3-0-0.wav,3,2
15,100652-3-0-1,fold2/100652-3-0-1.wav,3,2
16,100652-3-0-2,fold2/100652-3-0-2.wav,3,2
17,100652-3-0-3,fold2/100652-3-0-3.wav,3,2
18,100795-3-0-0,fold10/100795-3-0-0.wav,3,10
19,100795-3-1-0,fold10/100795-3-1-0.wav,3,10
20,100795-3-1-1,fold10/100795-3-1-1.wav,3,10
21,100795-3-1-2,fold10/100795-3-1-2.wav,3,10
22,100852-0-0-0,fold5/100852-0-0-0.wav,0,5
23,100852-0-0-1,fold5/100852-0-0-1.wav,0,5
24,100852-0-0-10,fold5/100852-0-0-10.wav,0,5
25,100852-0-0-11,fold5/100852-0-0-11.wav,0,5
26,100852-0-0-12,fold5/100852-0-0-12.wav,0,5
27,100852-0-0-13,fold5/100852-0-0-13.wav,0,5
28,100852-0-0-14,fold5/100852-0-0-14.wav,0,5
29,100852-0-0-15,fold5/100852-0-0-15.wav,0,5
30,100852-0-0-16,fold5/100852-0-0-16.wav,0,5
31,100852-0-0-17,fold5/100852-0-0-17.wav,0,5
32,100852-0-0-18,fold5/100852-0-0-18.wav,0,5
33,100852-0-0-19,fold5/100852-0-0-19.wav,0,5
34,100852-0-0-2,fold5/100852-0-0-2.wav,0,5
35,100852-0-0-20,fold5/100852-0-0-20.wav,0,5
36,100852-0-0-21,fold5/100852-0-0-21.wav,0,5
37,100852-0-0-22,fold5/100852-0-0-22.wav,0,5
38,100852-0-0-23,fold5/100852-0-0-23.wav,0,5
39,100852-0-0-24,fold5/100852-0-0-24.wav,0,5
40,100852-0-0-25,fold5/100852-0-0-25.wav,0,5
41,100852-0-0-26,fold5/100852-0-0-26.wav,0,5
42,100852-0-0-27,fold5/100852-0-0-27.wav,0,5
43,100852-0-0-28,fold5/100852-0-0-28.wav,0,5
44,100852-0-0-29,fold5/100852-0-0-29.wav,0,5
45,100852-0-0-3,fold5/100852-0-0-3.wav,0,5
46,100852-0-0-30,fold5/100852-0-0-30.wav,0,5
47,100852-0-0-4,fold5/100852-0-0-4.wav,0,5
48,100852-0-0-5,fold5/100852-0-0-5.wav,0,5
49,100852-0-0-6,fold5/100852-0-0-6.wav,0,5
50,100852-0-0-7,fold5/100852-0-0-7.wav,0,5
51,100852-0-0-8,fold5/100852-0-0-8.wav,0,5
52,100852-0-0-9,fold5/100852-0-0-9.wav,0,5
53,101281-3-0-0,fold6/101281-3-0-0.wav,3,6
54,101281-3-0-14,fold6/101281-3-0-14.wav,3,6
55,101281-3-0-5,fold6/101281-3-0-5.wav,3,6
56,101382-2-0-10,fold10/101382-2-0-10.wav,2,10
57,101382-2-0-12,fold10/101382-2-0-12.wav,2,10
58,101382-2-0-20,fold10/101382-2-0-20.wav,2,10
59,101382-2-0-21,fold10/101382-2-0-21.wav,2,10
60,101382-2-0-29,fold10/101382-2-0-29.wav,2,10
61,101382-2-0-33,fold10/101382-2-0-33.wav,2,10
62,101382-2-0-42,fold10/101382-2-0-42.wav,2,10
63,101382-2-0-45,fold10/101382-2-0-45.wav,2,10
64,101415-3-0-2,fold1/101415-3-0-2.wav,3,1
65,101415-3-0-3,fold1/101415-3-0-3.wav,3,1
66,101415-3-0-8,fold1/101415-3-0-8.wav,3,1
67,101729-0-0-1,fold9/101729-0-0-1.wav,0,9
68,101729-0-0-11,fold9/101729-0-0-11.wav,0,9
69,101729-0-0-12,fold9/101729-0-0-12.wav,0,9
70,101729-0-0-13,fold9/101729-0-0-13.wav,0,9
71,101729-0-0-14,fold9/101729-0-0-14.wav,0,9
72,101729-0-0-16,fold9/101729-0-0-16.wav,0,9
73,101729-0-0-17,fold9/101729-0-0-17.wav,0,9
74,101729-0-0-18,fold9/101729-0-0-18.wav,0,9
75,101729-0-0-19,fold9/101729-0-0-19.wav,0,9
76,101729-0-0-21,fold9/101729-0-0-21.wav,0,9
77,101729-0-0-22,fold9/101729-0-0-22.wav,0,9
78,101729-0-0-23,fold9/101729-0-0-23.wav,0,9
79,101729-0-0-24,fold9/101729-0-0-24.wav,0,9
80,101729-0-0-26,fold9/101729-0-0-26.wav,0,9
81,101729-0-0-28,fold9/101729-0-0-28.wav,0,9
82,101729-0-0-29,fold9/101729-0-0-29.wav,0,9
83,101729-0-0-3,fold9/101729-0-0-3.wav,0,9
84,101729-0-0-32,fold9/101729-0-0-32.wav,0,9
85,101729-0-0-33,fold9/101729-0-0-33.wav,0,9
86,101729-0-0-36,fold9/101729-0-0-36.wav,0,9
87,101729-0-0-37,fold9/101729-0-0-37.wav,0,9
88,101729-0-0-38,fold9/101729-0-0-38.wav,0,9
89,101729-0-0-39,fold9/101729-0-0-39.wav,0,9
90,101729-0-0-4,fold9/101729-0-0-4.wav,0,9
